id;artist;album
HOK54fBv90E;prince;originals
uOUtox0fxXw;ajr;neotheater
vqmCLg0zoyo;black midi;schlagenheim
KCSpWqfn6Qk;daphni;sizzling ep
_qziLUViJtU;bill callahan;shepherd in a sheepskin vest
IgRrcpwwzE4;lil nas x;7 ep
gq_duUotnbw;waste of space orchestra;syntheosis
3lVffzD-UKA;baroness;gold & grey
a58B7bUVD_M;holly herndon;proto
4kggrlYjGo8;otoboke beaver;itekoma hits
NKisf0dAyjM;jai paul;13 (bait ones)
MjP40h_BFfk;the mountain goats;in league with dragons
oIvhOSdJ7Bo;miley cyrus;she is coming ep
IhxPVSz5IFY;100 gecs;1000 gecs
toSuVK9nsAE;the national;i am easy to find
SAnc49e-G08;denzel curry;zuu
lEVXXtQUiXU;full of hell;weeping choir
0Q6NiItmGqo;steve lacy;apollo xxi
3UetWwNf9ms;dj khaled;father of asahd
VUND2yZH6UQ;flying lotus;flamagra
s28_I0Hu_Sg;rammstein;untitled
Be70pP6C4ow;slowthai;nothing great about britain
AzbBTaF45cg;megan thee stallion;fever
4yp-id2UnS4;young nudy & pi'erre bourne;sli'merre
vpnfhLVkpLQ;injury reserve;titled
X4UJL1V01xk;carly rae jepsen;dedicated
u37lG0BMFZk;tyler, the creator;igor
Pv0_ue4PWpk;big thief;u.f.o.f.
zHTFhBvSNaI;vampire weekend;father of the bride
vNw9TGSY1EM;mac demarco;here comes the cowboy
lfXh-qAoZNg;logic;confessions of a dangerous mind
Rccn_Hobk6s;slauson malone;a quiet farwell, 2016–2018
lu92NvB-xcA;gus dapperton;where polly people go to read
_wutLZaSZU0;king gizzard & the lizard wizard;fishing for fishies
6dLOzNKfslQ;rico nasty & kenny beats;anger management
dXla6EZApEI;schoolboy q;crash talk
AaEQeb1pOuE;sunn o)));life metal
Pc40i-8kHlM;kevin abstract;arizona baby
FGILPXMZHXw;beyoncé;homecoming
-deQEteXUK4;your old droog;it wasn't even close
7gIjHFZsoxk;cage the elephant;social cues
DmTgW_sjTG0;dos monos;dos city
sli3C0KTDh8;lizzo;cuz i love you
5E205mcp6g8;aries;welcome home
Ijny2633SIE;anderson .paak;ventura
l5ZD6BYKrGY;the chemical brothers;no geography
VqkqKNjQKkA;bts;map of the soul: persona ep
3qjNDxkAv4w;pup;morbid stuff
FjMD4H96TN4;show me the body;dog whistle
ANqN835Gmro;weyes blood;titanic rising
zJ5A5CdlnTo;quelle chris;guns
WRH2Cn3ktY8;ibibio sound machine;doko mien
_EbckCohk7s;billy woods & kenny segal;hiding places
GyvWvIlG3Vo;la dispute;panorama
07CQapiPPT0;the comet is coming;trust in the lifeforce of the deep mystery
L9fWqfDby9U;billie eilish;when we all fall asleep, where do we go?
jvLOz_mzZ9k;logic;supermarket
0NfVnIqy8-I;american football;lp3
A3yllffO0dc;nav;bad habits
6LFIvvx23_o;stella donnelly;beware of the dogs
5_ygpHqUm54;flume;hi this is flume mixtape
XrNB3eSiTmg;matmos;plastic anniversary
bm5pY9D8kK8;dave;psychodrama
ivSIL5lVKcQ;sun kil moon;i also want to die in new orleans
8bHjPSqqv-4;little simz;grey area
3ahSsfnXHyk;foals;everything not saved will be lost part 1
fkZLt-L68l4;spellling;mazy fly
M1SvOEAhll8;juice wrld;death race for love
Lml7J8uSfIo;weezer;titled (black)
AMzn7ZGCqgY;2 chainz;rap or go to the league
jV_IjRE6QTM;blu & oh no;a long red hot los angeles summer night
jto3k6kzbz0;solange;when i get home
HpH6uSqXhxk;kankyō ongaku: japanese ambient, environmental & new age music 1980​;​90 compilation
EerTWrLqowA;offset;father of 4
p3mUwEc4yow;seeyouspacecowboy;songs for the firing squad compilation
wgU7-FzF5Xw;gunna;drip or drown 2
IfasBW89k1Q;lil pump;harverd dropout
MWsI9V7KmEM;czarface & ghostface killah;czarface meets ghostface
4x0g-Evv_PQ;jessica pratt;quiet signs
0YPMV6iTy-U;drake;so far gone mixtape
mW7m4r2Ul2Q;xiu xiu;girl with basket of fruit
bPLvfWRBi70;lcd soundsystem;electric lady sessions
VCGwCQDMEi8;panda bear;buoys
VWjFquNG1IY;ariana grande;thank u, next
Z9xDiR7v_XA;comethazine;bawskee 2 mixtape
asIkx9NJs7o;maggie rogers;heard it in a past life
nWwxvvb9uqY;beirut;gallipoli
2ADxX13pFhU;various artists;now that's what i call music, vol. 69 compilation
strGSJ96ams;boogie;everythings for sale
xi9YRCX1miE;bring me the horizon;amo
ujPHUKQ4C7Q;deerhunter;why hasn't everything already disappeared?
Bf6ivvOanxI;weezer;titled (teal)
BFWxkPF6n0o;malibu ken;titled
EcGF0_3IarY;toro y moi;outer peace
HwWQveEGCNA;sharon van etten;remind me tomorrow
CYldmrlhCZA;james blake;assume form
kHn-r95Gsm0;future;the wizrd
