url;id;title
/watch?v=kJb6Lz5frq4&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=54;kJb6Lz5frq4;R.A.P. Ferreira - Purple Moonlight Pages ALBUM REVIEW
/watch?v=Hbi2rTyz42U&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=55;Hbi2rTyz42U;Machine Girl - U-Void Synthesizer ALBUM REVIEW
/watch?v=9j3Y7LYl3H8&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=56;9j3Y7LYl3H8;Jay Electronica - A Written Testimony ALBUM REVIEW
/watch?v=hh1y2FbdHvA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=57;hh1y2FbdHvA;Code Orange - Underneath ALBUM REVIEW
/watch?v=ANmdYZdKiWY&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=58;ANmdYZdKiWY;Lil Uzi Vert - LUV vs. the World 2 ALBUM REVIEW
/watch?v=KEtb3CuLb4U&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=59;KEtb3CuLb4U;Weekly Track Roundup: 3/16 (ITZY, Flume, Childish Gambino, The Killers)
/watch?v=7Q8tNSIQKBM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=60;7Q8tNSIQKBM;Megan Thee Stallion - Suga EP REVIEW
/watch?v=Ui0JUOZBPls&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=61;Ui0JUOZBPls;Princess Nokia - Everything Is Beautiful & Everything Sucks ALBUM REVIEW
/watch?v=I4H_vmSQEGs&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=62;I4H_vmSQEGs;Loathe - I Let It in and It Took Everything ALBUM REVIEW
/watch?v=oH2rxEXcBSA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=63;oH2rxEXcBSA;U.S. Girls - Heavy Light ALBUM REVIEW
/watch?v=sYLTNvie3sA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=64;sYLTNvie3sA;Lil Uzi Vert - Eternal Atake ALBUM REVIEW
/watch?v=o8boT4TE1BM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=65;o8boT4TE1BM;Weekly Track Roundup: 3/8 (Katy Perry, BROCKHAMPTON, Dixie Chicks, cupcakKe)
/watch?v=jR3hyPi0Dbc&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=66;jR3hyPi0Dbc;gupi - None ALBUM REVIEW
/watch?v=cVCZGlcW3lA&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=67;cVCZGlcW3lA;Bad Bunny - YHLQMDLG ALBUM REVIEW
/watch?v=7aA6NOJtjew&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=68;7aA6NOJtjew;Caribou - Suddenly ALBUM REVIEW
/watch?v=DhTY9G4KdtE&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=69;DhTY9G4KdtE;Lil Baby's My Turn: NOT GOOD
/watch?v=jlokVOTEvDs&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=70;jlokVOTEvDs;YUNOREVIEW: February 2020 (Russ, Halsey, Destroyer, Loona)
/watch?v=Ebp8_eD7jM8&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=71;Ebp8_eD7jM8;Weekly Track Roundup: 3/1 (Gorillaz, Drake, 100 gecs, Lil Uzi Vert)
/watch?v=40uVM6vqLJQ&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=72;40uVM6vqLJQ;GREAT ALBUMS: February 2020
/watch?v=NoOWjMKLzoI&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=73;NoOWjMKLzoI;Grimes - Miss Anthropocene ALBUM REVIEW
/watch?v=YqLDx2PnOYM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=74;YqLDx2PnOYM;"Royce da 5'9"" - The Allegory ALBUM REVIEW"
/watch?v=z6y4M7HVRXg&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=75;z6y4M7HVRXg;BTS - Map of the Soul: 7 ALBUM REVIEW
/watch?v=cTUxGqQBPFM&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=76;cTUxGqQBPFM;King Krule - Man Alive! ALBUM REVIEW
/watch?v=lAzPwc5m4XY&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=77;lAzPwc5m4XY;Weekly Track Roundup: 2/23 (The Weeknd, JPEGMAFIA, Justin Bieber, The Strokes)
/watch?v=LUKTMDyfoRU&list=UUt7fwAhXDy3oNFTAzF2o8Pw&index=78;LUKTMDyfoRU;EDEN - No Future ALBUM REVIEW
