ARTISTS,ALBUM TITLE,SCORE,GENDER
Melody's Echo Chamber,Bon Voyage,7,#N/A
The Internet,Hive Mind,7,#N/A
Florence   The Machine,High As Hope,7,#N/A
Nine Inch Nails,Bad Witch,7,#N/A
LUMP,LUMP,7,#N/A
Beach House,7,7,#N/A
Ice Age,Beyondless,7,#N/A
Rae Sremmurd,SR3MM,7,#N/A
"Czarface, MF Doom",Czarface Meets Metal Face,7,#N/A
Superorganism,Superorganism,7,#N/A
Keiji Haino   Sumac,American Dollar Bill,7,#N/A
Lil Yatchy,Lil Boat 2,7,#N/A
Tribulation,Down Below,7,#N/A
No Age,Snares Like A Haircut,7,#N/A
First Aid Kit,Ruins,7,#N/A
King Gizzard & The Lizard Wizard,Gumboot Soup,7,#N/A
N.E.R.D.,NO_ONE EVER REALLY DIES,7,#N/A
Ibeyi,Ash,7,#N/A
King Gizzard & The Lizard Wizard,Polygonwanaland,7,#N/A
"21 Savage, Offset, Metro Boomin",Without Warning,7,#N/A
Injury Reserve,Drive It Like It's Stolen,7,#N/A
The National,Sleep Well Beast,7,#N/A
Bicep,Bicep,7,#N/A
Brand New,Science Fiction,7,#N/A
Dead Cross,Dead Cross,7,#N/A
Black Lips,Satan's Graffiti or God's Art?,7,#N/A
Integrity,"Howling, For The Nightmare Shall Consume",7,#N/A
Pissed Jeans,Why Love Now,7,#N/A
Broken Social Scene,Hug of Thunder,7,#N/A
Paramore,After Laughter,7,#N/A
The Magnetic Fields,50 Song Memoir,7,#N/A
Ondatrópica,Baile Bucanero,7,#N/A
Remo Drive,Greatest Hits,7,#N/A
Havok,Comformicide,7,#N/A
Spoon,Hot Thoughts,7,#N/A
Charlie XCX,Number 1 Angel,7,#N/A
Sleaford Mods,English Tapas,7,#N/A
Dirty Projecters,Dirty Projecters,7,#N/A
Power Trip,Nightmare Logic,7,#N/A
Migos,Culture,7,#N/A
Foxygen,Hang,7,#N/A
Yucky Duster,Duster's Lament,7,#N/A
Sleigh Bells,Jessica Rabbit,7,#N/A
Marching Church,Telling It Like It Is,7,#N/A
Wormrot,Voices,7,#N/A
The Dillinger Escape Plan,Dissociation,7,#N/A
NxWorries,Yes Lawd!,7,#N/A
Ghoul,Dungeon Bastards,7,#N/A
BADBADNOTGOOD,IV,7,#N/A
Woods,City Sun Eater in the River of Light,7,#N/A
Deerhoof,The Magic,7,#N/A
The Avalanches,Wildflower,7,#N/A
case/lang/veirs,case/lang/veirs,7,#N/A
clipping.,Wriggle,7,#N/A
Modern Baseball,Holy Ghost,7,#N/A
Parquet Courts,Human Preformance,7,#N/A
Open Mike Eagle & Paul White,Hella Personal Film Festival,7,#N/A
Black Mountain,IV,7,#N/A
The Body and Full of Hell,One Day You Will Ache Like I Ache ,7,#N/A
ORANSSI PAZUZU,Värähtelijä,7,#N/A
Nevemn,Nevemn,7,#N/A
Chairlift,Moth,7,#N/A
Ander .Paak,Malibu,7,#N/A
Meridian Brothers,Los Suicidas,7,#N/A
Krallice,Hyperion,7,#N/A
Beach Slang,The Things We Do To Find People Who Feel Like Us,7,#N/A
King Gizzard & the Lizard Wizard,Paper Mâché Dream Balloon,7,#N/A
Kylesa,Exhausting Fire,7,#N/A
Protomartyr,The Agent Intellect,7,#N/A
Neon Indian,VEGA INTL. Night School,7,#N/A
The World Is A Beautiful Place & I Am No Longer Afraid To Die,Harmlessness,7,#N/A
Loma Prieta,Self Portrait,7,#N/A
Whitey Morgan and the 78's,Sonic Ranch,7,#N/A
Dam-Funk,Invite the Light,7,#N/A
Dope Body,Kunk,7,#N/A
Pissgrave,Suicide Euphoria,7,#N/A
Corpo-Mente,Corpo-Mente,7,#N/A
The Chemical Brothers,Born In the Echoes,7,#N/A
Ratatat,Magnifique,7,#N/A
Tame Impala,Currents,7,#N/A
Florence   The Machine,"How Big, How Blue, How Beautiful",7,#N/A
Peste Noire,La Chaise-Dyable,7,#N/A
Blur,The Magic Whip,7,#N/A
Tribulation,The Children of the Night,7,#N/A
Liturgy,The Ark Work,7,#N/A
Lightning Bolt,Fantasy Empire,7,#N/A
Swain,Heavy Dancing,7,#N/A
THEESatisfaction,EarthEE,7,#N/A
Adventures,Supersonic Home,7,#N/A
Sleater-Kinney,No Cities to Love,7,#N/A
Viet Cong,Viet Cong,7,#N/A
Death Grips,Fashion Week,7,#N/A
I Am Your Destruction,I Am Your Destruction,7,#N/A
Megaton Leviathan,Past 21: Beyond The Arctic Cell,7,#N/A
Sterilizer,Sterilizer,7,#N/A
Deerhoof,La Isla Bonita,7,#N/A
Clockwork Indigo,Clockwork Indigo,7,#N/A
Godflesh,A World Lit Only By Fire,7,#N/A
My Brightest Diamond,This Is My Hand,7,#N/A
Weezer,Everything Will Be Alright In The End,7,#N/A
alt-J,This Is All Yours,7,#N/A
Julian Casablancas   The Voidz,Tyranny,7,#N/A
Antemasque,Antemasque,7,#N/A
The Underachievers,Cellar Door: Terminus Ut Exordium,7,#N/A
Spoon,They Want My Soul,7,#N/A
Lazer/Wulf,The Beast of Left and Right,7,#N/A
A Sunny Day In Glasgow,Sea When Absent,7,#N/A
USA Out of Vietnam,Crashing Diseases and Incurable Airplanes,7,#N/A
Mastodon,Once More 'Round the Sun,7,#N/A
The Soft Pink Truth,Why Do The Heathen Rage?,7,#N/A
Mayhem,Esoteric Warfare,7,#N/A
Vallenfyre,Splinters,7,#N/A
Ibibio Sound Machine,Ibibio Sound Machine,7,#N/A
BADBADNOTGOOD,III,7,#N/A
Ought,More Than Any Other Day,7,#N/A
Pharoahe Monch,P.T.S.D.,7,#N/A
CunninLynguists,Strange Journey Vol. 3,7,#N/A
Sisyphus,Sisyphus,7,#N/A
OFF!,Wasted Years,7,#N/A
Wild Beasts,Present Tense,7,#N/A
Onyx,Wakedafucup,7,#N/A
Future Islands,Singles,7,#N/A
The War On Drugs,Lost In The Dream,7,#N/A
La Dispute,The Rooms of the House,7,#N/A
Xiu Xiu,Angel Guts: Red Classroom,7,#N/A
An Autumn For Crippled Children,Try Not To Destroy Everything You Love,7,#N/A
Calvaiire,Forceps,7,#N/A
Hellfyre Club,Dorner vs. Tookie,7,#N/A
Soupcans,Parasite Brain,7,#N/A
Cara Neir,"Portals To A Better, Dead World",7,#N/A
The Debauchees,Big Machines and Peculiar Beings,7,#N/A
Haunted Horses,Watcher,7,#N/A
Kayo Dot,Hubardo,7,#N/A
Holy Ghost!,Dynamics,7,#N/A
TOAD,Endless Night,7,#N/A
Modern Life Is War,Fever Hunting,7,#N/A
Candy Claws,Ceres & Calypso In The Deep Time,7,#N/A
AlunaGeorge,Body Music,7,#N/A
Lycus,Tempest,7,#N/A
Melt Yourself Down,Melt Yourself Down,7,#N/A
Disclosure,Settle,7,#N/A
The World Is A Beautiful Place And I Am No Longer Afraid To Die,"Whenever, If Ever",7,#N/A
Vampire Weekend,Modern Vampires of the City,7,#N/A
The Uncluded,Hokey Fright,7,#N/A
Makthaverskan,II,7,#N/A
The Black Heart Rebellion,Har Nevo,7,#N/A
The Mary Onettes,Hit The Waves,7,#N/A
KEN mode,Entrench,7,#N/A
Dope Body,Saturday,7,#N/A
Nails,Abandon All Life,7,#N/A
Grave Babies,Crusher,7,#N/A
Atoms For Peace,Amok,7,#N/A
Pissed Jeans,Honeys,7,#N/A
The Underachievers,Indigoism,7,#N/A
Unknown Mortal Orchestra,II,7,#N/A
TTNG (This Town Needs Guns),13.0.0.0.0,7,#N/A
Villagers,{Awayland},7,#N/A
Yo La Tengo,Fade,7,#N/A
Roomful of Teeth,Roomful of Teeth,7,#N/A
Neurosis,Honor Found In Decay,7,#N/A
Macklemore and Ryan Lewis,The Heist,7,#N/A
Dark Time Sunshine,ANX,7,#N/A
Title Fight,Floral Green,7,#N/A
Dinosaur Jr.,I Bet On Sky,7,#N/A
David Byrne & St. Vincent,Love This Giant,7,#N/A
Woods,Bend Beyond,7,#N/A
Bloc Party,Four,7,#N/A
Parquet Courts,Light Up Gold,7,#N/A
Wreck and Reference,No Youth,7,#N/A
Baroness,Yellow and Green,7,#N/A
Hot Chip,In Our Heads,7,#N/A
Liars,WIXIW,7,#N/A
Neil Young & Crazy Horse,Americana,7,#N/A
Sigur Rós,Valtari,7,#N/A
Cerce,Tour Sampler CD-R,7,#N/A
OFF!,OFF!,7,#N/A
The Mars Volta,Noctourniquet,7,#N/A
Unsane,Wreck,7,#N/A
The Men,Open Your Heart,7,#N/A
Pallbearer,Sorrow and Extinction,7,#N/A
Goatwhore,Blood For the Master,7,#N/A
of Montreal,Paralytic Stalks,7,#N/A
Pop. 1280,The Horror,7,#N/A
Chairlift,Something,7,#N/A
First Aid Kit,The Lion's Roar,7,#N/A
The Act of Estimating as Worthless,Amongst These Splintered Minds...,7,#N/A
Comet Gain,Howl of the Lonely Crowd,7,#N/A
Cynic,Carbon-Based Anatomy,7,#N/A
The Strange Boys,Live Music,7,#N/A
Black Milk & Danny Brown,Black & Brown,7,#N/A
Civil Civic,Rules,7,#N/A
Teenage Cool Kids,Denton After Sunset,7,#N/A
Wilco,The Whole Love,7,#N/A
Wild Flag,Wild Flag,7,#N/A
Girls,"Father, Son, Holy Ghost",7,#N/A
Rival Sons,Pressure & Time,7,#N/A
Various Artists,Brand New Wayo,7,#N/A
Touche Amore,Parting the Sea Between Brightness and Me,7,#N/A
The Horrors,Skying,7,#N/A
Ulcerate,The Destroyers of All,7,#N/A
Herman Dune,Strange Moosic,7,#N/A
Blood Ceremony,Living With the Ancients,7,#N/A
Snake Oil,Snake Oil,7,#N/A
Death Cab for Cutie,Codes and Keys,7,#N/A
Master Musicians of Bukkake,Totem 3,7,#N/A
Balkans,Balkans,7,#N/A
Wild Beasts,Smother,7,#N/A
Metronomy,The English Riviera,7,#N/A
Trap Them,Darker Handcraft,7,#N/A
The Strokes,Angles,7,#N/A
Weedeater,Jason...The Dragon,7,#N/A
Earth,"Angels of Darkness, Demons of Light I",7,#N/A
Braids,Native Speaker,7,#N/A
Smith Westerns,Dye It Blonde,7,#N/A
Cake,Showroom of Compassion,7,#N/A
All Pigs Must DIe,All Pigs Must DIe,7,#N/A
Big Blood,Dark Country Magic,7,#N/A
Maserati,Pyramid of the Sun,7,#N/A
Future Islands,In Evening Air,7,#N/A
Grinderman,Grinderman 2,7,#N/A
Weezer,Hurley,7,#N/A
Miami Horror,Illumination,7,#N/A
Thou,Summit,7,#N/A
Various Artists,Cloud Cuckooland,7,#N/A
Suckers,Wild Smile,7,#N/A
Sleepy Sun,Fever,7,#N/A
Harlem,Hippies,7,#N/A
The Black Keys,Brothers,7,#N/A
The New Pornographers,Together,7,#N/A
Holy Fuck,Latin,7,#N/A
Crystal Castles,Crystal Castles,7,#N/A
Titus Andronicus,The Monitor ,7,#N/A
Black Tambourine,Black Tambourine,7,#N/A
Gorillaz,Plastic Beach,7,#N/A
Current 93,The Light Is Leaving Us All,8,#N/A
Polyphia,New Levels New Devils,8,#N/A
twenty one pilots,Trench,8,#N/A
Kero Kero Bonito,Time 'n' Place,8,#N/A
Guerilla Toss,Twisted Crystal,8,#N/A
Armand Hammer,Paraffin,8,#N/A
HMLTD,Hate Music Last Time Delete,8,#N/A
Imperial Triumphant,Vile Luxury,8,#N/A
Zeal & Ardor,Stranger Fruit,8,#N/A
Tropical Fuckstorm,A Laughing Death in Meatspace,8,#N/A
"Black Thought, 9th Wonder","Streams of Thought, Vol. 1",8,#N/A
Ghost,Prequelle,8,#N/A
Sleep,The Sciences,8,#N/A
Hop Along,8,8,#N/A
Sons of Kemet,Your Queen is a Reptile,8,#N/A
"Jean Grae, Quelle Chris",Everything's Fine ,8,#N/A
The Voidz,Virtue,8,#N/A
Judas Priest,Firepower,8,#N/A
Screaming Females,All at Once,8,#N/A
MGMT,Little Dark Age,8,#N/A
Brockhampton,Saturation III,8,#N/A
Sharon Jones & The Dap-Kings,Soul of a Woman,8,#N/A
Converge,The Dusk in Us,8,#N/A
Primitive Man,Caustic,8,#N/A
Protomartyr,Relatives in Descent,8,#N/A
"Young Thug, Carnage",Young Martha,8,#N/A
Alvvays,Antisocialites,8,#N/A
Death From Above,Outrage! Is Now,8,#N/A
Oh Sees,Orc,8,#N/A
Brockhampton,Saturation II,8,#N/A
Oxbow,Thin Black Duke,8,#N/A
Dying Fetus,Wrong One to Fuck With,8,#N/A
Guerilla Toss,GT Ultra,8,#N/A
Algiers,The Underside of Power,8,#N/A
Fleet Foxes,Crack Up,8,#N/A
Elder,Reflections of a Floating World,8,#N/A
Ibibio Sound Machine,Uyai,8,#N/A
Pallbearer,Heartless,8,#N/A
Idles,Brutalism,8,#N/A
Xiu Xiu,Forget,8,#N/A
King Gizzard & The Lizard Wizard,Flying Microtonal Banana,8,#N/A
Code Orange,Forever,8,#N/A
Nine Inch Nails,Not The Actual Events,8,#N/A
Run the Jewels,RTJ3,8,#N/A
Injury Reserve,Floss,8,#N/A
Kero Kero Bonito,Bonito Generation,8,#N/A
Swain,The Long Dark Blue,8,#N/A
Crying,Beyond the Fleeting Gate,8,#N/A
Neurosis,Flames Within Flames,8,#N/A
Preoccupations,Preoccupations,8,#N/A
Touché Amoré,Stage Four,8,#N/A
Street Sects,End Position,8,#N/A
Nick Cave & The Bad Seeds,Skeleton Tree,8,#N/A
clipping.,Splendor & Misery ,8,#N/A
Angel Olson,My Woman,8,#N/A
Thee Oh Sees,A Wierd Exits,8,#N/A
Show Me The Body,Body War,8,#N/A
The I.L.Y's,Scum With Bounderies,8,#N/A
Nails,You Will Never Be One of Us,8,#N/A
Moonsorrow,Jumalten Aika,8,#N/A
Gorguts,Pleaides',8,#N/A
Vektor,Terminal Redux,8,#N/A
Radiohead, A Moon Shaped Pool,8,#N/A
King Gizzard & The Lizard Wizard,Nonagon Infinity,8,#N/A
Weezer,Weezer (The White Album),8,#N/A
Various Artists,Southern Family,8,#N/A
The Drones,Feelin' Kinda Free,8,#N/A
Lemon Demon,Spirit Phone,8,#N/A
Big Ups,Before A Million Universes,8,#N/A
Matmos,Ultimate Care II,8,#N/A
Massive Attack,Ritual Spirit,8,#N/A
Baroness,Purple,8,#N/A
Panopticon,Autumn Eternal,8,#N/A
Ought,Sun Coming Down,8,#N/A
The Underachievers,Evermore: The Art of Duality,8,#N/A
Destroyer,Poison Season,8,#N/A
Cattle Decapitation,The Anthropocene Extinction,8,#N/A
Sleaford Mods,Key Markets,8,#N/A
Injury Reserve,Live From the Dentist Office,8,#N/A
Everything Everything,Get to Heaven,8,#N/A
Czarface,Every Hero Needs A Villain,8,#N/A
KEN mode,Success,8,#N/A
High On Fire,Luminiferous,8,#N/A
Algiers,Algiers,8,#N/A
Unknown Mortal Orchestra,Multi-Love,8,#N/A
Hop Along,Painted Shut,8,#N/A
Colin Stetson and Sarah Neufeld,Never Were the Way She Was,8,#N/A
Alabama Shakes,Sound & Color,8,#N/A
Young Fathers,White Men Are Black Men Too,8,#N/A
Leviathan,Scar Sighted,8,#N/A
Zs,Xe,8,#N/A
Napalm Death,Apex Predator -- Easy Meat,8,#N/A
D'Angelo and The Vanguard,Black Messiah,8,#N/A
Full of Hell,Full of Hell & Merzbow,8,#N/A
The Wytches,Annabel Dream Reader,8,#N/A
Wildbirds & Peacedrums,Rhythm,8,#N/A
Botanist,VI: Flora,8,#N/A
Run the Jewels,Run the Jewels 2,8,#N/A
Dope Body,Lifer,8,#N/A
Busdriver,Perfect Hair,8,#N/A
La Roux,Trouble In Paradise,8,#N/A
Panopticon,Roads To The North,8,#N/A
Wolves In the Throne Room,Celestite,8,#N/A
Pearls Negras,Biggie Apple,8,#N/A
Thantifaxath,Sacred White Noise,8,#N/A
IDYLLS,PRAYER FOR TERRENE,8,#N/A
Girl Talk & Freeway,Broken Ankles,8,#N/A
Ratking,So It Goes,8,#N/A
Timber Timbre,Hot Dreams,8,#N/A
Liars,Mess,8,#N/A
Big Ups,Eighteen Hours of Static,8,#N/A
White Suns,Totem,8,#N/A
Artificial Brain,Labyrinth Constellation,8,#N/A
Step Brothers,Lord Steppington,8,#N/A
Have A Nice Life,The Unnatural World,8,#N/A
Indian,From All Purity,8,#N/A
Silver Mount Zion,Fuck Off Get Free We Pour Light On Everything,8,#N/A
Murmur,Murmur,8,#N/A
Xiu Xiu,Nina,8,#N/A
Future Of The Left,How To Stop Your Brain In An Accident,8,#N/A
Da Mafia 6ix,6ix Commandments,8,#N/A
Black Milk,No Poison No Paradise,8,#N/A
Cage The Elephant,Melophobia,8,#N/A
Armand Hammer,Race Music,8,#N/A
of Montreal,Lousy With Sylvianbriar,8,#N/A
Darkside,Psychic,8,#N/A
Touché Amoré,Is Survived By,8,#N/A
Flatbush Zombies,BetterOffDEAD,8,#N/A
Gorguts,Colored Sands,8,#N/A
Stone Titan,Scratch N' Sniff (MINI),8,#N/A
Run The Jewels,Run The Jewels,8,#N/A
Smith Westerns,Soft Will,8,#N/A
Young Fathers,Tape Two,8,#N/A
Deafheaven,Sunbather,8,#N/A
This Routine Is Hell,Howl,8,#N/A
Daft Punk,Random Access Memories,8,#N/A
The Dillinger Escape Plan,One Of Us Is The Killer,8,#N/A
Savages,Silence Yourself,8,#N/A
Ghostface Killah and Adrian Younge,Twelve Reasons To Die,8,#N/A
Kvelertak,Meir,8,#N/A
The Drones,I See Seaweed,8,#N/A
Autechre,Exai,8,#N/A
Clipping,Midcity,8,#N/A
Iceage,You're Nothing,8,#N/A
Beach Fossils,Clash The Truth,8,#N/A
My Bloody Valentine,MBV,8,#N/A
Buke and Gase,General Dome,8,#N/A
Comadre,Comadre,8,#N/A
Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,8,#N/A
The Progressive Era,PEEP: The aPROcalypse,8,#N/A
Burial,Truant / Rough Sleeper,8,#N/A
The Evens,The Odds,8,#N/A
Action Bronson and the Alchemist,Rare Chandeliers,8,#N/A
Pile,Dripping,8,#N/A
The Bad Plus,Made Possible,8,#N/A
Converge,All We Love We Leave Behind,8,#N/A
Godspeed You! Black Emperor,'Allelujah! Don't Bend! Ascend!,8,#N/A
Tame Impala,Lonerism,8,#N/A
Death Grips,NO LOVE DEEP WEB,8,#N/A
Alt-J,An Awesome Wave,8,#N/A
Krallice,Years Past Matter,8,#N/A
Murder Construct,Results,8,#N/A
Swans,The Seer,8,#N/A
Xibalba,Hasta La Muerte,8,#N/A
Nachtmystium,Silencing Machine,8,#N/A
Holograms,Holograms,8,#N/A
Foxygen,Take the Kids Off Broadway,8,#N/A
Deathspell Omega,Drought,8,#N/A
Ty Segall Band,Slaughterhouse,8,#N/A
Ty Segall & White Fence,Hair,8,#N/A
iamamiwhoami,Kin,8,#N/A
The Tallest Man On Earth,There's No Leaving Now,8,#N/A
Black Breath,Sentenced to Life,8,#N/A
Beach House,Bloom,8,#N/A
Torche,Harmonicraft,8,#N/A
White Suns,Sinews,8,#N/A
Spiritualized,Sweet Heart Sweet Light,8,#N/A
High On Fire,De Vermis Mysteriis,8,#N/A
THEESatisfaction,awE naturalE,8,#N/A
Christian Mistress,Possession,8,#N/A
Burial,Kindred,8,#N/A
Portico Quartet,Portico Quartet,8,#N/A
Loma Prieta,I.V.,8,#N/A
Young Fathers,Tape One,8,#N/A
Cloud Nothings,Attack On Memory,8,#N/A
Cormorant,Dwellings,8,#N/A
The Log.Os,λόγος,8,#N/A
Vektor,Outer Isolation,8,#N/A
Ghoul,Transmission Zero,8,#N/A
Oblivionized,Abhorrent Evolution,8,#N/A
Absu,Abzu,8,#N/A
La Dispute,Wildlife,8,#N/A
BADBADNOTGOOD,BBNG,8,#N/A
Andrew Jackson Jihad,Knife Man,8,#N/A
Veronica Falls,Veronica Falls,8,#N/A
Africa Hitech,93 Million Miles,8,#N/A
Little Dragon,Ritual Union,8,#N/A
Toxic Holocaust,Conjure and Command,8,#N/A
Zombi,Escape Velocity,8,#N/A
Shabazz Palaces,Black Up,8,#N/A
Iceage,New Brigade,8,#N/A
Poor Lily,Poor Lily,8,#N/A
Havok,Time Is Up,8,#N/A
The UV Race,Homo,8,#N/A
Liturgy,Aesthethica,8,#N/A
Death Grips,Exmilitary,8,#N/A
CunninLynguists,Oneirology,8,#N/A
Wormrot,Dirge,8,#N/A
Crystal Stilts,In Love With Oblivion,8,#N/A
Timber Timbre,Creep On Creepin' On,8,#N/A
Holy Ghost!,Holy Ghost!,8,#N/A
Craft Spells,Idle Labor,8,#N/A
The Pains of Being Pure at Heart,Belong,8,#N/A
Mogwai,"Hardcore Will Never Die, but You Will",8,#N/A
Natural Child,Natural Child,8,#N/A
Kvelertak,Kvelertak,8,#N/A
Fergus & Geronimo,Unlearn,8,#N/A
Ghost,Opus Eponymous,8,#N/A
British Sea Power,Valhalla Dancehall,8,#N/A
The Souljazz Orchestra,Rising Sun,8,#N/A
Off!,First Four,8,#N/A
Agalloch,Marrow of the Spirit,8,#N/A
Weekend,Sports,8,#N/A
Bongripper,Satan Worshipping Doom,8,#N/A
The Tallest Man On Earth,Sometimes the Blues Is Just a Passing Bird,8,#N/A
Deerhunter,Halcyon Digest,8,#N/A
Blonde Redhead,Penny Sparkle,8,#N/A
Magic Kids,Memphis,8,#N/A
Mogwai,Special Moves,8,#N/A
Various Artists,Afro-Beat Airways,8,#N/A
Daughters,Daughters,8,#N/A
Ceremony,Rohnert Park,8,#N/A
Arcade Fire,The Suburbs,8,#N/A
Dirty Projectors and Bjork,Mount Wittenberg Orca,8,#N/A
Superhumanoids,Urgency,8,#N/A
The Roots,How I Got Over,8,#N/A
The Radio Dept.,Clinging To A Scheme,8,#N/A
The Drums,The Drums,8,#N/A
Ratatat,LP4,8,#N/A
Woods,At Echo Lake,8,#N/A
Various Artists,Pomegranates,8,#N/A
The Tallest Man On Earth,The Wild Hunt ,8,#N/A
MGMT,Congratulations ,8,#N/A
Arckanum,ÞÞÞÞÞÞÞÞÞÞÞ ,8,#N/A
High On Fire,Snakes for the Divine ,8,#N/A
Horrendous,Idol,9,#N/A
IDLES,Joy as an Act of Resistance,9,#N/A
Death Grips,Year of the Snitch,9,#N/A
Parquet Courts,Wide Awake!,9,#N/A
Portal,Ion,9,#N/A
Brockhampton,Saturation,9,#N/A
Sun Kil Moon,Common As Light And Love Are Red Valleys Of Blood,9,#N/A
A Tribe Called Quest,We Got It from Here... Thank You 4 Your Service ,9,#N/A
Swans,The Glowing Man,9,#N/A
Death Grips,Bottomless Pit,9,#N/A
Xiu Xiu,Plays the Music of Twin Peaks,9,#N/A
Ghost,Meliora,9,#N/A
Death Grips,The Powers That B (Niggas On the Moon / Jenny Death),9,#N/A
The Pop Group,Citizen Zombie,9,#N/A
Iceage,Plowing Into the Field of Love,9,#N/A
clipping.,CLPPNG,9,#N/A
Freddie Gibbs & Madlib,Piñata,9,#N/A
Sun Kil Moon,Benji,9,#N/A
Behemoth,The Satanist,9,#N/A
Melt-Banana,Fetch,9,#N/A
Queens of the Stone Age,...Like Clockwork,9,#N/A
Altar of Plagues,Teethed Glory and Injury,9,#N/A
The Knife,Shaking The Habitual,9,#N/A
Ondatrópica,Ondatrópica,9,#N/A
TNGHT,TNGHT,9,#N/A
Dope Body,Natural History,9,#N/A
BADBADNOTGOOD,BBNG2,9,#N/A
Disma,Towards the Megalith,9,#N/A
Battles,Gloss Drop,9,#N/A
Fleet Foxes,Helplessness Blues,9,#N/A
Beastie Boys,Hot Sauce Committee Part Two,9,#N/A
Destroyer,Kaputt,9,#N/A
Women,Public Strain,9,#N/A
Nails,Unsilent Death,9,#N/A
Chromeo,Business Casual,9,#N/A
The Books,The Way Out,9,#N/A
LCD Soundsystem,This Is Happening,9,#N/A
Little Women,Throat,9,#N/A
Daughters,You Won't Get What You Want,10,#N/A
KIDS SEE GHOSTS,KIDS SEE GHOSTS,10,#N/A
Swans,To Be Kind,10,#N/A
Death Grips,The Money Store,10,#N/A
Chance The Rapper,The Big Day,0,M
Logic,Confessions Of A Dangerous Mind,1,M
Miley Cyrus,Miley Cyrus & Her Dead Petz,1,F
Miley Cyrus,She Is Coming,1,F
93punx & Vic Mensa,93punx,1,#N/A
Jaden,The Sunset Tapes: A Cool Tape Story,2,M
Partynextdoor,Partynextdoor Two,2,M
Gunna,Drip Or Drown 2,2,M
Lil Yachty,Nuthin' 2 Prove,2,M
Blink-182,Nine,2,#N/A
Spark Master Tape,Silhouette Of A Sunkken City,2,#N/A
Tory Lanez,Memories Don't Die,3,M
Drake,Care Package,3,M
Kodak Black,Lil B.I.G. Pac,3,M
A$Ap Mob,Lords Never Worry,3,#N/A
"The Knife, Mt. Sims, Planningtorock","Tomorrow, In A Year",3,#N/A
Pi'erre Bourne,The Life Of Pi'erre 4,3,M
Shabazz Palaces,Quazarz: Born On A Ganstar Star,3,#N/A
Travis Scott,Days Before Rodeo,3,M
Have A Nice Life,Sea Of Worry,3,#N/A
Pharell,G I R L,3,M
Tegan And Sara,Hearthrob,3,#N/A
Lil Wayne,The Carter Iv,3,M
Jaden,Erys,3,M
Neon Indian,Era Extrana,3,#N/A
Steve Lacy,Apollo Xxi,3,M
The Weeknd,House Of Ballons,3,M
Mac Demarco,Here Comes The Cowboy,3,M
Travis Scott,Owl Pharoah,3,M
Maggie Roggers,Heard It In A Past Life,3,F
Willow,Ardipithecus,3,F
Citizen,Everbody Is Going To Heaven,3,#N/A
The Glitch Mob,Love Death Immortality,3,#N/A
Portugal. The Man,American Ghetto,3,#N/A
Trippie Redd,A Love Letter To You 4,4,M
Yung Lean,Unkown Memory,4,M
Broken Social Scene,Forgiveness Rock Record,4,#N/A
Gus Dapperton,Where Polly People Go To Read,4,M
Ameer Vann,Emmanuel,4,M
Childish Gambino,Kauai,4,M
Beck,Hyperspace,4,M
Jaden,Syre,4,M
Jonathan Rado,Law And Order,4,M
Odd Future,The Of Tape Vol.2,4,#N/A
"Med, Blu, Madlib",Bad Neighbor,4,#N/A
Childish Gambino,Stn Mtn,4,M
The Internet,Purple Naked Laides,4,#N/A
Mastadon,Emperor Of Sand,4,#N/A
Doja Cat,Hot Pink,4,F
The Neighbourhood,The Neighbourhood,4,#N/A
The National,I Am Easy To Find,4,#N/A
Burzum,Belus,4,#N/A
Weezer,Weezer (Black Album),4,#N/A
Beirut,Gallipoli,4,#N/A
Panopticon,The Scars Of Man On The Once Nameless Wilderness Part I And Ii,4,#N/A
Tool,Fear Inoculum,4,#N/A
Kanye West,Jesus Is King,4,M
The 1975,"I Like It When You Sleep, For You Are So Beatiful Yet So Unaware Of It",4,#N/A
Arcade Fire,Everyhting Now,4,#N/A
Pianos Become Teeth,Keep You,4,#N/A
The Mountain Goats,In League With Dragons,4,M
Refused,Freedom,4,#N/A
Lil Peep,"Come Over When You're Sober, Pt. 2",4,M
Boris,Attention Please,4,#N/A
Purity King,Another Eternity,4,#N/A
Partynextdoor,Partynextdoor (P3),4,M
G-Easy,When It's Dark Out,4,M
Iggy & The Stooges,Ready To Die,4,#N/A
Ratking,700 Fill,4,#N/A
Lil Pump,Harverd Dropout,4,M
Riff Raff,The Peach Panther,4,M
M83,"Hurry Up, We're Dreamind",4,#N/A
Young Nudy & Pi'erre Bourne,Sli'merre,4,#N/A
A$Ap Mob,Cozy Tapes Vol. 2: Too Cozy,4,#N/A
Big K.R.I.T.,K.R.I.T. Iz Here,4,M
Megadeth,Dystopia,4,#N/A
Ed Sheeran,÷,4,M
M.I.A.,Aim,4,F
Comethazine,Bawskee 2,4,M
No Genesis & The Alchemist,No Idols,5,#N/A
Cage The Elephant,Social Cues,5,#N/A
Explosions In The Sky,"Taker Care, Take Care, Take Care",5,#N/A
Ajj,Christmas Island,5,#N/A
Big Sean & Metro Boomin,Double Or Nothing,5,#N/A
Future & Juice Wrld,Wrld On Drugs,5,#N/A
Baroness,Gold & Grey,5,#N/A
Arctic Monkeys,Tranquilty Base Hotel & Casino,5,#N/A
Coldplay,Everyday Life,5,#N/A
