ARTISTS,ALBUM TITLE,SCORE,GENDER
Childish Gambino,STN MTN / Kauai,4,M
Yung Lean,Unknown Memory,4,M
Raury,Indigo Child,4,M
Watsky,All You Can Do,4,M
Beck,Morning Phase,4,M
Jonathan Rado,Law & Order,4,M
Tech N9ne,Something Else,4,M
Toro Y Moi,Anything In Return,4,M
Chief Keef,Finally Rich,4,M
2 Chainz,Based on a T.R.U. Story,4,M
Nas,Life Is Good,4,M
B.o.B.,Strange Clouds,4,M
Willis Earl Beal,Acousmatic Sorcery,4,M
Wale,Ambition,4,M
9th Wonder,The Wonder Years,4,M
"Tyler, The Creator",Goblin,4,M
How To Dress Well,Love Remains,4,M
Xasthur,Portal of Sorrow,4,M
EDEN,no future,4,M
Lil Wayne,Funeral,4,M
DaBaby,Blame It On Baby,4,M
Four Tet,Sixteen Oceans,4,M
Lil Uzi Vert,Eternal Atake,4,M
Childish Gambino,3.15.20,4,M
Meek Mill,Championships,5,M
Action Bronson,White Bronco,5,M
Joji,Ballads 1,5,M
Logic,YSIV,5,M
Young Thug,Slime Language,5,M
Trippie Redd,Life's a Trip,5,M
YG, Stay Dangerous,5,M
Juice WRLD,Goodbye & Good Riddance ,5,M
Wiley,Godfather II,5,M
Slim Jxmmi,Jxmtro,5,M
Daniel Avery,Song For Alpha,5,M
J. Cole,KOD,5,M
The Weeknd,My Dear Melancholy,5,M
Logic,Bobby Tarantino II,5,M
Cyhi the Prince,No Dope on Sundays,5,M
Benjamin Clementine,I Tell a Fly,5,M
Skepta,Vicous,5,M
Gucci Mane,Mr. Davis,5,M
Trippie Redd,A Love Letter To You 2,5,M
Marilyn Manson,Heaven Upside Down,5,M
Kodak Black,Project Baby 2,5,M
Lil B,Black Ken,5,M
Ugly God,The Booty Tape,5,M
Aminé,Good For You,5,M
Young Thug,Beautiful Thugger Girls,5,M
(Sandy) Alex G,Rocket,5,M
Logic,Everybody  ,5,M
Arca,Arca,5,M
GoldLink,At What Cost,5,M
Drake,More Life,5,M
Future,Future ,5,M
Common,Black America Again,5,M
The Weeknd,Starboy,5,M
The Game,1992,5,M
Mick Jenkins,The Healing Component ,5,M
Lil Yachty,Summer Songs 2,5,M
ScHoolboy Q,Blank Face,5,M
Logic,Bobby Tarantino ,5,M
Jon Bellion,The Human Condition,5,M
Vic Mensa,There's Alot Going On,5,M
Flume,Skin,5,M
James Blake,The Colour In Everything,5,M
Tim Hecker,Love Streams,5,M
Young Thug,Slime Season 3,5,M
Bas,Too High To Riot,5,M
Wild Nothing,Life of Pause,5,M
Porches,Pool,5,M
Young Thug,I'm Up,5,M
Lil Ugly Mane,Oblivion Access,5,M
Justin Bieber,Purpose,5,M
Kirk Knight,Late Knight Special,5,M
Raury,All We Need,5,M
Big K.R.I.T.,It's Better This Way,5,M
Fetty Wap,Fetty Wap,5,M
The Weeknd,Beauty Behind the Madness,5,M
Miguel,Wildheart,5,M
Hudson Mohawke,Lantern,5,M
A$AP Rocky,At. Long. Last. A$AP,5,M
Shamir,Ratchet,5,M
Snoop Dogg,Bush,5,M
Young Thug,Barter 6,5,M
Action Bronson,Mr. Wonderful,5,M
Fashawn,The Ecology,5,M
Dan Deacon,Gliss Riffer,5,M
Ghostface Killah,36 Seasons,5,M
SBTRKT,Wonder Where We Land,5,M
Milo,A Toothpaste Suburb,5,M
Michael Cera,True That,5,M
Spooky Black,Leaving,5,M
Porter Robinson,Worlds,5,M
Morrissey,World Peace is None of Your Business,5,M
Ab-Soul,These Days...,5,M
Jack White,Lazaretto,5,M
Ben Frost,A U R O R A,5,M
RiFF RAFF,NEON iCON,5,M
Damon Albarn,Everyday Robots,5,M
Mac Demarco,Salad Days,5,M
Skrillex,Recess,5,M
Childish Gambino,Because The Internet,5,M
Gesaffelstein,Aleph,5,M
Drake,Nothing Was The Same,5,M
The Weeknd,Kiss Land,5,M
Dizzy Wright,The Golden Age,5,M
J. Cole,Born Sinner,5,M
Zomby,With Love,5,M
Kanye West,Yeezus,5,M
Justin Timberlake,The 20/20 Experience,5,M
Steven Wilson,The Raven That Refused To Sing (And Other Stories),5,M
Nosaj Thing,Home,5,M
The Game,Jesus Piece,5,M
P.O.S,We Don't Even Live Here,5,M
Heems,Wild Water Kingdom,5,M
Lupe Fiasco,Food & Liquor 2: The Great American Rap Album Pt. 1,5,M
Mount Eerie,Ocean Roar,5,M
Dan Deacon,America,5,M
Domo Genesis,No Idols,5,M
Twin Shadow,Confess,5,M
Spaceghostpurrp,Mysterious Phonk: The Chronicles of SpvcxxGhxztPvrrp,5,M
Leonard Cohen,Old Ideas,5,M
Schoolboy Q,Habits & Contradictions,5,M
Yelawolf,Radioactive,5,M
Mac Miller,Blue Slide Park,5,M
David Lynch,Crazy Clown Time,5,M
James Blake,Enough Thunder,5,M
Samiyam,Sam Baker's Album,5,M
Panda Bear,Tomboy,5,M
Bibio,Mind Bokeh,5,M
Raekwon,Shaolin vs. Wu-Tang,5,M
Zach Hill,Face Tat,5,M
Avey Tare,Down There,5,M
Neil Young,Le Noise,5,M
Eminem,Music To Be Murdered By,5,M
Jay Electronica,A Written Testimony,5,M
Lil Uzi Vert,LUV vs. the World 2,5,M
Bladee,Exeter,5,M
Igorrr,Spirituality and Distortion,5,M
Don Toliver,Heaven or Hell,5,M
Ski Mask the Slump God,Stokeley,6,M
Metro Boomin,Not All Heroes Wear Capes,6,M
Kurt Vile,Bottle It In,6,M
Sheck Wes,Mudboy,6,M
Tim Hecker,Konoyo,6,M
Lil Wayne,Tha Carter V,6,M
Hozier,Nina Cried Power,6,M
milo,budding ornithologists are weary of tired analogies,6,M
Kamasi Washington,Heaven and Earth,6,M
Nas,Nasir,6,M
Oneohtrix Point Never,Age Of ,6,M
Rich Brian,Amen,6,M
Jeff Rosenstock,Post,6,M
Prurient,Rainbow Mirror,6,M
Yung Lean,Stranger,6,M
Liam Gallagher,As You Were,6,M
Smokepurpp,Deadstar,6,M
Action Bronson,Blue Chips 7000,6,M
A$ap Ferg,Still Striving,6,M
Ski Mask the Slump God,You Will Regret,6,M
Vic Mensa,The Autobiography,6,M
Dizzee Rascal,Raskit,6,M
Vince Staples,Big Fish Theory,6,M
Freddie Gibbs,You Only Live 2wice,6,M
Rick Ross,Rather You Than Me,6,M
Thundercat,Drunk,6,M
Jens Lekman,Life Will See You Now,6,M
Lupe Fiasco,DROGAS Light,6,M
Big Sean,I Decided,6,M
Ty Segall,Ty Segall,6,M
J. Cole,4 Your Eyez Only,6,M
Nicolas Jaar,Sirens,6,M
Isaiah Rashad,The Sun's Tirade,6,M
DJ Khaled,Major Key,6,M
Gucci Mane,Everybody Looking,6,M
Blood Orange,Freetown Sound,6,M
Kaytranada,99.9%,6,M
Ash Koosha,I AKA I,6,M
Baauer,Aa,6,M
Future,EVOL,6,M
Boots,AQUɅRIA,6,M
Arca,Mutant,6,M
Ty Dolla $ign,Free TC,6,M
Logic,The Incredible True Story,6,M
Alex G,Beach Music,6,M
The Game,The Documentary 2,6,M
Kurt Vile,B'lieve I'm Goin Down...,6,M
Jay Rock,90059,6,M
Mick Jenkins,Wave[s],6,M
Lee Scott,Butter Fly,6,M
Future,DS2,6,M
King Los,"God, Money, War",6,M
Vince Staples,Summertime 06,6,M
Thundercat,The Beyond / Where the Giants Roam,6,M
Denzel Curry,32 Zel / Planet Shrooms,6,M
Jim O'Rourke,Simple Songs,6,M
Blanck Mass,Dumb Flesh,6,M
Squarepusher,Damogen Furies,6,M
Shlohmo,Dark Red,6,M
Earl Sweatshirt,"I Don't Like Shit, I Don't Go Outside",6,M
Steven Wilson,Hand. Cannot. Erase.,6,M
Mount Eerie,Sauna,6,M
J. Cole,2014 Forest Hills Drive,6,M
Clark,Clark,6,M
Big K.R.I.T.,Cadillactica,6,M
Arca,Xen,6,M
Panda Bear,Mr. Noah,6,M
Logic,Under Pressure,6,M
Caribou,Our Love,6,M
Thom Yorke,Tomorrow's Modern Boxes,6,M
Aphex Twin,Syro,6,M
The Bug,Angels & Devils,6,M
Zammuto,Anchor,6,M
Ty Segall,Manipulator,6,M
Common,Nobody's Smiling,6,M
How To Dress Well,What Is This Heart?,6,M
Caustic Window,Caustic Window,6,M
ZelooperZ,HELP,6,M
Bones,Garbage,6,M
Blu,Good To Be Home,6,M
Mac Miller,Faces,6,M
Todd Terje,It's Album Time,6,M
Nocando,Jimmy The Burnout,6,M
YG,My Krazy Life,6,M
Tycho,Awake,6,M
Isaiah Rashad,Cilvia Demo,6,M
Lee Bannon,Alternate/Endings,6,M
Pusha T,My Name Is My Name,6,M
Oneohtrix Point Never,R Plus Seven,6,M
Earl Sweatshirt,Doris,6,M
Washed Out,Paracosm,6,M
Jay-Z,Magna Carta... Holy Grail,6,M
Mac Miller,Watching Movies With the Sound Off,6,M
CX KiDTRONiK,KRAK ATTACK 2: THE BALLAD OF ELLI SKIFF,6,M
Baths,Obsidian,6,M
Co La,Moody Coup,6,M
Chance The Rapper,Acid Rap,6,M
R.A. The Rugged Man,Legends Never Die,6,M
Phosphorescent,Muchacho,6,M
"Tyler, The Creator",Wolf,6,M
Wavves,Afraid of Heights,6,M
Bonobo,The North Borders,6,M
Dumbo Gets Mad,Quantum Leap,6,M
Miguel,Kaleidoscope Dream,6,M
Brian Eno,LUX,6,M
Mac DeMarco,2,6,M
Daphni,Jiaolong,6,M
How To Dress Well,Total Loss,6,M
Ariel Pink's Haunted Graffiti,Mature Themes,6,M
Bobby Womack,The Bravest Man In the Universe,6,M
El-P,Cancer for Cure,6,M
Squarepusher,Ufabulum,6,M
Jack White,Blunderbuss,6,M
Moonface,With Siinai: Heartbreaking Bravery,6,M
Lotus Plaza,Spooky Action at a Distance,6,M
Evian Christ,Kings and Them,6,M
Lapalux,When You're Gone,6,M
Gonjasufi,MU.ZZ.LE,6,M
Cass McCombs,Humor Risk,6,M
Nujabes,Spiritual State,6,M
Drake,Take Care,6,M
Atlas Sound,Parallax,6,M
Kuedo,Severant,6,M
J. Cole,Cole World: The Sideline Story,6,M
